geoname_id,continent_code,continent_name,country_iso_code,country_name,subdivision_iso_code,subdivision_name,city_name,metro_code,time_zone
4757519,NA,North America,US,United States,VA,Virginia,Elliston,573,America/New_York
4450150,NA,North America,US,United States,MS,Mississippi,Walnut,640,America/Chicago
4360709,NA,North America,US,United States,MD,Maryland,Linkwood,576,America/New_York
4357764,NA,North America,US,United States,MD,Maryland,Henderson,512,America/New_York
4361825,NA,North America,US,United States,MD,Maryland,Marydel,512,America/New_York
4922345,NA,North America,US,United States,IN,Indiana,Kirklin,527,America/Indiana/Indianapolis
4532743,NA,North America,US,United States,OK,Oklahoma,Centrahoma,657,America/Chicago
5281340,NA,North America,US,United States,WI,Wisconsin,Kohler,617,America/Chicago
5707166,NA,North America,US,United States,NV,Nevada,Paradise Valley,757,America/Los_Angeles
4720335,NA,North America,US,United States,TX,Texas,Powell,623,America/Chicago
5340050,NA,North America,US,United States,CA,California,Coulterville,866,America/Los_Angeles
4407110,NA,North America,US,United States,MO,Missouri,Saint Mary,632,America/Chicago
5516368,NA,North America,US,United States,TX,Texas,Anthony,765,America/Denver
4985208,NA,North America,US,United States,MI,Michigan,Bay Port,513,America/Detroit
5379755,NA,North America,US,United States,CA,California,Orosi,866,America/Los_Angeles
4525289,NA,North America,US,United States,OH,Ohio,Spring Valley,542,America/New_York
5359595,NA,North America,US,United States,CA,California,Inverness,807,America/Los_Angeles
4708477,NA,North America,US,United States,TX,Texas,Lytle,641,America/Chicago
4676808,NA,North America,US,United States,TX,Texas,Bruni,749,America/Chicago
5352997,NA,North America,US,United States,CA,California,Gonzales,828,America/Los_Angeles
4692359,NA,North America,US,United States,TX,Texas,Freer,600,America/Chicago
4728236,NA,North America,US,United States,TX,Texas,Shelbyville,612,America/Chicago
4374784,NA,North America,US,United States,MO,Missouri,Altenburg,632,America/Chicago
5351983,NA,North America,US,United States,CA,California,Georgetown,862,America/Los_Angeles
4255673,NA,North America,US,United States,IN,Indiana,Chandler,649,America/Chicago
4531202,NA,North America,US,United States,OK,Oklahoma,Boswell,623,America/Chicago
4377542,NA,North America,US,United States,MO,Missouri,Bloomsdale,609,America/Chicago
4413013,NA,North America,US,United States,MO,Missouri,Versailles,604,America/Chicago
4544261,NA,North America,US,United States,OK,Oklahoma,Okay,671,America/Chicago
4915764,NA,North America,US,United States,IL,Illinois,Wayne,602,America/Chicago
4266659,NA,North America,US,United States,IN,Indiana,Waveland,527,America/Indiana/Indianapolis
4708089,NA,North America,US,United States,TX,Texas,Louise,618,America/Chicago
4671529,NA,North America,US,United States,TX,Texas,Atascosa,641,America/Chicago
4720048,NA,North America,US,United States,TX,Texas,Port Bolivar,618,America/Chicago
5379533,NA,North America,US,United States,CA,California,Orange Cove,866,America/Los_Angeles
4197884,NA,North America,US,United States,GA,Georgia,Grantville,524,America/New_York
4739306,NA,North America,US,United States,TX,Texas,Village Mills,692,America/Chicago
4640569,NA,North America,US,United States,TN,Tennessee,McEwen,659,America/Chicago
5387411,NA,North America,US,United States,CA,California,Richgrove,866,America/Los_Angeles
4896005,NA,North America,US,United States,IL,Illinois,Hines,602,America/Chicago
4992659,NA,North America,US,United States,MI,Michigan,Ferrysburg,563,America/Detroit
4894635,NA,North America,US,United States,IL,Illinois,Green Valley,675,America/Chicago
4328676,NA,North America,US,United States,LA,Louisiana,Iowa,643,America/Chicago
4315514,NA,North America,US,United States,LA,Louisiana,Basile,642,America/Chicago
4336092,NA,North America,US,United States,LA,Louisiana,Olla,628,America/Chicago
4341491,NA,North America,US,United States,LA,Louisiana,Shongaloo,612,America/Chicago
4377452,NA,North America,US,United States,MO,Missouri,Bland,609,America/Chicago
4400973,NA,North America,US,United States,MO,Missouri,Norwood,619,America/Chicago
4393747,NA,North America,US,United States,MO,Missouri,Kissee Mills,619,America/Chicago
4827329,NA,North America,US,United States,WV,West Virginia,Williamsburg,559,America/New_York
4771701,NA,North America,US,United States,VA,Virginia,Marshall,511,America/New_York
